#  n_B[fm^{-3}] 	 P[dyn/cm^2] 	 rho[g/cm^3] 
  6.024E-16 	   3.500E+14 	   1.000E+00
  6.131E-16 	   3.562E+14 	   1.018E+00
  6.239E-16 	   3.625E+14 	   1.036E+00
  6.350E-16 	   3.689E+14 	   1.054E+00
  6.462E-16 	   3.755E+14 	   1.073E+00
  6.577E-16 	   3.821E+14 	   1.092E+00
  6.693E-16 	   3.889E+14 	   1.111E+00
  6.812E-16 	   3.958E+14 	   1.131E+00
  6.932E-16 	   4.028E+14 	   1.151E+00
  7.055E-16 	   4.099E+14 	   1.171E+00
  7.180E-16 	   4.172E+14 	   1.192E+00
  7.307E-16 	   4.245E+14 	   1.213E+00
  7.436E-16 	   4.321E+14 	   1.234E+00
  7.568E-16 	   4.397E+14 	   1.256E+00
  7.702E-16 	   4.475E+14 	   1.279E+00
  7.838E-16 	   4.554E+14 	   1.301E+00
  7.977E-16 	   4.635E+14 	   1.324E+00
  8.119E-16 	   4.717E+14 	   1.348E+00
  8.262E-16 	   4.800E+14 	   1.372E+00
  8.409E-16 	   4.885E+14 	   1.396E+00
  8.557E-16 	   4.972E+14 	   1.421E+00
  8.709E-16 	   5.060E+14 	   1.446E+00
  8.863E-16 	   5.150E+14 	   1.471E+00
  9.020E-16 	   5.241E+14 	   1.497E+00
  9.180E-16 	   5.334E+14 	   1.524E+00
  9.342E-16 	   5.428E+14 	   1.551E+00
  9.508E-16 	   5.524E+14 	   1.578E+00
  9.676E-16 	   5.622E+14 	   1.606E+00
  9.848E-16 	   5.721E+14 	   1.635E+00
  1.002E-15 	   5.823E+14 	   1.664E+00
  1.020E-15 	   5.926E+14 	   1.693E+00
  1.038E-15 	   6.031E+14 	   1.723E+00
  1.056E-15 	   6.138E+14 	   1.754E+00
  1.075E-15 	   6.246E+14 	   1.785E+00
  1.094E-15 	   6.357E+14 	   1.816E+00
  1.113E-15 	   6.469E+14 	   1.848E+00
  1.133E-15 	   6.584E+14 	   1.881E+00
  1.153E-15 	   6.700E+14 	   1.914E+00
  1.174E-15 	   6.819E+14 	   1.948E+00
  1.194E-15 	   6.940E+14 	   1.983E+00
  1.216E-15 	   7.063E+14 	   2.018E+00
  1.237E-15 	   7.188E+14 	   2.054E+00
  1.259E-15 	   7.315E+14 	   2.090E+00
  1.281E-15 	   7.445E+14 	   2.127E+00
  1.304E-15 	   7.576E+14 	   2.165E+00
  1.327E-15 	   7.711E+14 	   2.203E+00
  1.351E-15 	   7.847E+14 	   2.242E+00
  1.375E-15 	   7.986E+14 	   2.282E+00
  1.399E-15 	   8.127E+14 	   2.322E+00
  1.424E-15 	   8.271E+14 	   2.363E+00
  1.449E-15 	   8.418E+14 	   2.405E+00
  1.475E-15 	   8.567E+14 	   2.448E+00
  1.501E-15 	   8.719E+14 	   2.491E+00
  1.527E-15 	   8.873E+14 	   2.535E+00
  1.554E-15 	   9.030E+14 	   2.580E+00
  1.582E-15 	   9.190E+14 	   2.626E+00
  1.610E-15 	   9.353E+14 	   2.672E+00
  1.638E-15 	   9.518E+14 	   2.720E+00
  1.667E-15 	   9.687E+14 	   2.768E+00
  1.697E-15 	   9.858E+14 	   2.817E+00
  1.727E-15 	   1.003E+15 	   2.867E+00
  1.757E-15 	   1.021E+15 	   2.917E+00
  1.789E-15 	   1.039E+15 	   2.969E+00
  1.820E-15 	   1.058E+15 	   3.022E+00
  1.852E-15 	   1.076E+15 	   3.075E+00
  1.885E-15 	   1.095E+15 	   3.129E+00
  1.919E-15 	   1.115E+15 	   3.185E+00
  1.953E-15 	   1.134E+15 	   3.241E+00
  1.987E-15 	   1.155E+15 	   3.299E+00
  2.022E-15 	   1.175E+15 	   3.357E+00
  2.058E-15 	   1.196E+15 	   3.417E+00
  2.095E-15 	   1.217E+15 	   3.477E+00
  2.132E-15 	   1.239E+15 	   3.539E+00
  2.169E-15 	   1.260E+15 	   3.601E+00
  2.208E-15 	   1.283E+15 	   3.665E+00
  2.247E-15 	   1.305E+15 	   3.730E+00
  2.287E-15 	   1.329E+15 	   3.796E+00
  2.327E-15 	   1.352E+15 	   3.863E+00
  2.368E-15 	   1.376E+15 	   3.932E+00
  2.410E-15 	   1.400E+15 	   4.001E+00
  2.453E-15 	   1.425E+15 	   4.072E+00
  2.496E-15 	   1.450E+15 	   4.144E+00
  2.541E-15 	   1.476E+15 	   4.218E+00
  2.586E-15 	   1.502E+15 	   4.292E+00
  2.631E-15 	   1.529E+15 	   4.368E+00
  2.678E-15 	   1.556E+15 	   4.446E+00
  2.725E-15 	   1.584E+15 	   4.524E+00
  2.774E-15 	   1.612E+15 	   4.604E+00
  2.823E-15 	   1.640E+15 	   4.686E+00
  2.873E-15 	   1.669E+15 	   4.769E+00
  2.924E-15 	   1.699E+15 	   4.853E+00
  2.975E-15 	   1.729E+15 	   4.939E+00
  3.028E-15 	   1.759E+15 	   5.027E+00
  3.082E-15 	   1.791E+15 	   5.116E+00
  3.136E-15 	   1.822E+15 	   5.206E+00
  3.192E-15 	   1.854E+15 	   5.299E+00
  3.248E-15 	   1.887E+15 	   5.392E+00
  3.306E-15 	   1.921E+15 	   5.488E+00
  3.364E-15 	   1.955E+15 	   5.585E+00
  3.424E-15 	   1.989E+15 	   5.684E+00
  3.485E-15 	   2.025E+15 	   5.785E+00
  3.546E-15 	   2.060E+15 	   5.887E+00
  3.609E-15 	   2.097E+15 	   5.991E+00
  3.673E-15 	   2.134E+15 	   6.097E+00
  3.738E-15 	   2.172E+15 	   6.205E+00
  3.804E-15 	   2.210E+15 	   6.315E+00
  3.872E-15 	   2.249E+15 	   6.427E+00
  3.940E-15 	   2.289E+15 	   6.541E+00
  4.010E-15 	   2.330E+15 	   6.657E+00
  4.081E-15 	   2.371E+15 	   6.774E+00
  4.153E-15 	   2.413E+15 	   6.894E+00
  4.227E-15 	   2.456E+15 	   7.016E+00
  4.302E-15 	   2.499E+15 	   7.141E+00
  4.378E-15 	   2.544E+15 	   7.267E+00
  4.455E-15 	   2.589E+15 	   7.396E+00
  4.534E-15 	   2.634E+15 	   7.527E+00
  4.614E-15 	   2.681E+15 	   7.660E+00
  4.696E-15 	   2.728E+15 	   7.796E+00
  4.779E-15 	   2.777E+15 	   7.934E+00
  4.864E-15 	   2.826E+15 	   8.074E+00
  4.950E-15 	   2.876E+15 	   8.217E+00
  5.038E-15 	   2.927E+15 	   8.363E+00
  5.127E-15 	   2.979E+15 	   8.511E+00
  5.218E-15 	   3.032E+15 	   8.661E+00
  5.310E-15 	   3.085E+15 	   8.815E+00
  5.404E-15 	   3.140E+15 	   8.971E+00
